Location,Latitude,Longitude,Rating,Description
"San Francisco Bay Area, CA",37.8271784,-122.2913078,7,"This was the strongest shock felt in the San Francisco area since 1906. Felt land area was approximately 12,000 square miles. (See map, page 195.) Magnitude 5.3. Maximum intensity VII. No lives were lost; about forty minor injuries reported. Damage of all types was estimated by engineers to be in the neighborhood of one million dollars. Principal building damage occurred to one- and two-story wood-frame houses in the Westlake Palisades tract west of Daly City along the ocean. Several dwellings in this tract sustained structural damage. The 1,600,000-gallon reinforced-concrete Westlake Palisades water reservoir (partly underground) had a 4-foot-long crack on one side extending upward from the ground. The largest of several landslides completely blocked State Highway No. 1 near Mussel Rock, and the shoulder of the highway pavement was extensively cracked. Building and dwelling damage in San Francisco was slight and consisted mainly of cracked plaster and broken windows. The road pavement (on unconsolidated soil and fill) along the southern edge of Lake Merced sloughed off into the lake, and both ends of a 200-foot-long pedestrian bridge collapsed. It was reported 2,395 emergency calls were received by plumbers, with 1,500 coming from the home areas south of Sloat Boulevard and north of the Colma cemeteries. There were 856 water heaters damaged, 125 of which required replacement; 62 toilets replaced; 175 wash basins damaged or fractured; 245 toilet tank covers broken; 173 boiler steam lines fractured or broken; 97 broken sewer lines; 422 fractured, broken or bent gas supply lines. At the Colma cemeteries some headstones fell and many were twisted. About forty-four brick chimneys at Daly City were pulled down by the fire department up to 26 March. All strong-motion seismographs in San Francisco, San Jose, and Oakland were operated by this shock, also the instrument located on the Carquinez Bridge at Martinez."
"Holy Cross Cemetery, Colma, CA 94014",37.6692767,-122.4487548,7,"Motion rapid, violent. Direction E-W. Loud earth noises heard. Plaster, windows, and walls cracked in old stone building. The movement of monuments in some sections of this cemetery reflect the possibility that there was more than one type of earth motion. Some monuments were turned as much as 45° on a vertical axis on their stone base but were not dislodged, while other monuments were moved on their base as much as 6 inches in a westerly direction. Other monuments were toppled from the base. Ground: Sandy loam, sloping."
"Woodlawn Cemetery, Colma, CA 94014",37.6814666,-122.4642829,7,Gable end of dormer fell. Tombstones shifted at few places; urn toppled.
"Eternal Home Cemetery, Colma, CA 94014",37.6798307,-122.4608957,7,Tombstone toppled.
"Salem Memorial Park Cemetery, Colma, CA 94014",37.6778109,-122.4589196,7,Brick chimney damaged.
"7778 Mission St, Colma, CA 94014",37.6836445,-122.4641799,7,"Motion rapid, lasted 8 seconds. Direction E-W. Loud earth noises heard. Small objects and furnishings shifted. Plaster cracked. Twisting and fall of monuments, vases, and statue. Retaining wall shifted 3 inches toward E. Ground: Compact, level."
"25 Village Lane, Garden Village, Colma, CA 94014",37.6749036,-122.4561533,7,"Motion rapid, lasted about 15 seconds. Direction N. Loud earth noises heard. Small and heavy objects shifted; heavy furniture moved 1-2 inches toward N. Dishes and furniture broke. Ground: Level."
"956 Foothill Dr, Broadmoor Village, Colma, CA 94014",37.6955289,-122.4883611,6,"Motion rapid, lasted 30-45 seconds. Direction S-N. Loud earth noises heard. Small objects and furnishings shifted. Dishes broke. Small amount of plaster cracking. Damage slight. Ground: Soil, compact, sloping."
"536 B St, Colma, CA 94014",37.6851884,-122.4598128,6,All in home very frightened and got under table for protection. Mirror and two pictures fell; canned goods fell in garage. Child awakened. Aftershocks felt for three days; none felt on 25th. Ground: Soil; formerly vegetable gardens.
"835 Thornhill Dr, Broadmoor Village, Colma, CA 94014",37.6917257,-122.4866809,6,"Motion rapid, lasted about 1 minute. Direction N-S. Loud earth noises heard. Small objects and furnishings shifted. Walls cracked. Damage slight. Ground: Clay, compact, sloping."
"820 81st St, Colma, CA 94014",37.6749036,-122.4561533,6,"Motion rapid, increasing then decreasing, violent shaking. Direction NE-SW. Faint earth noises heard. Stove, tables, cabinets, etc., shifted. Dishes broke. Damage slight. Ground: Sloping, filled in."
"464 C St, Colma, CA 94014",37.6844558,-122.4618723,6,"Motion rapid, lasted 28 seconds. Direction NE. Moderate earth noises heard. Small objects shifted. Dishes broke. Plaster cracked. Damage slight. Ground: Soil, compact."
